item_id,order_id,product_id,quantity,unit_price
1,1,2,2,599.0
2,1,7,2,299.99
3,1,3,3,449.95
4,1,4,2,129.99
5,2,6,2,89.99
6,2,1,1,349.99
7,2,3,3,449.95
8,2,4,3,129.99
9,3,5,2,49.99
10,3,8,3,79.99
11,4,10,2,19.99
12,4,9,3,54.99
13,4,7,2,299.99
14,4,8,1,79.99
15,5,7,1,299.99
16,5,6,1,89.99
17,6,10,3,19.99
18,6,2,1,599.0
19,7,1,2,349.99
20,7,3,1,449.95
21,7,6,3,89.99
22,8,8,1,79.99
23,8,4,3,129.99
24,9,5,3,49.99
25,9,3,1,449.95
26,9,10,2,19.99
27,9,9,3,54.99
28,10,8,2,79.99
29,10,4,3,129.99
30,11,4,3,129.99
31,11,10,2,19.99
32,11,5,2,49.99
33,11,6,2,89.99
34,12,3,3,449.95
35,12,4,1,129.99
36,13,1,2,349.99
37,14,9,3,54.99
38,14,7,2,299.99
39,14,4,1,129.99
40,15,6,1,89.99
41,15,3,3,449.95
42,16,4,1,129.99
43,17,3,3,449.95
44,17,5,3,49.99
45,17,2,2,599.0
46,18,7,3,299.99
47,18,3,3,449.95
48,19,1,3,349.99
49,19,10,3,19.99
50,19,9,2,54.99
51,20,2,3,599.0
52,20,1,2,349.99
53,20,6,3,89.99
54,21,1,3,349.99
55,21,9,2,54.99
56,21,8,2,79.99
57,21,5,2,49.99
58,22,8,3,79.99
59,22,7,2,299.99
60,22,10,1,19.99
61,23,5,2,49.99
62,23,10,2,19.99
63,23,3,2,449.95
64,24,7,3,299.99
65,25,2,1,599.0
66,25,3,3,449.95
67,25,9,3,54.99
68,26,4,2,129.99
69,26,9,2,54.99
70,26,5,1,49.99
71,26,2,1,599.0
72,27,5,1,49.99
73,27,6,3,89.99
74,28,6,2,89.99
75,28,4,2,129.99
76,28,5,3,49.99
77,28,1,1,349.99
78,29,1,1,349.99
79,29,5,1,49.99
80,29,4,3,129.99
81,30,3,1,449.95
82,30,4,3,129.99
83,30,8,3,79.99
84,31,3,1,449.95
85,31,9,1,54.99
86,31,5,2,49.99
87,32,5,3,49.99
88,33,10,1,19.99
89,33,9,3,54.99
90,34,2,3,599.0
91,34,6,3,89.99
92,34,4,1,129.99
93,35,10,2,19.99
94,35,7,1,299.99
95,35,5,3,49.99
96,35,6,2,89.99
97,36,4,2,129.99
98,36,10,1,19.99
99,37,6,2,89.99
100,37,2,3,599.0
101,38,10,1,19.99
102,38,5,1,49.99
103,39,9,3,54.99
104,39,8,1,79.99
105,39,3,3,449.95
106,40,9,1,54.99
107,40,7,3,299.99
108,40,3,3,449.95
109,41,8,3,79.99
110,42,6,1,89.99
111,42,9,2,54.99
112,42,10,3,19.99
113,42,3,1,449.95
114,43,2,2,599.0
115,43,8,1,79.99
116,43,6,3,89.99
117,43,9,3,54.99
118,44,3,1,449.95
119,44,1,2,349.99
120,44,7,3,299.99
121,44,8,2,79.99
122,45,8,3,79.99
123,45,1,1,349.99
124,45,6,2,89.99
125,46,4,3,129.99
126,46,1,1,349.99
127,46,9,2,54.99
128,47,3,3,449.95
129,47,5,1,49.99
130,48,9,1,54.99
131,48,7,2,299.99
132,48,2,1,599.0
133,48,8,3,79.99
134,49,7,2,299.99
135,49,3,2,449.95
136,49,5,2,49.99
137,50,4,1,129.99
138,50,1,2,349.99
139,50,10,1,19.99
140,50,9,3,54.99
141,51,3,2,449.95
142,51,2,1,599.0
143,51,7,3,299.99
144,52,5,3,49.99
145,53,7,2,299.99
146,53,10,2,19.99
147,54,6,1,89.99
148,54,9,1,54.99
149,54,4,2,129.99
150,55,8,2,79.99
151,55,10,2,19.99
152,55,4,1,129.99
153,55,3,2,449.95
154,56,2,3,599.0
155,56,4,3,129.99
156,57,3,3,449.95
157,57,1,2,349.99
158,58,1,3,349.99
159,59,7,3,299.99
160,59,8,2,79.99
161,59,4,3,129.99
162,60,2,2,599.0
163,60,8,3,79.99
164,60,6,1,89.99
165,60,9,3,54.99
166,61,1,1,349.99
167,62,3,3,449.95
168,62,7,2,299.99
169,62,10,1,19.99
170,63,6,1,89.99
171,64,2,1,599.0
172,65,5,3,49.99
173,65,6,1,89.99
174,66,3,3,449.95
175,66,5,1,49.99
